,TUCASEID,TULINENO,TEAGE,TESEX
796,20140111132436,1,18,2
797,20140111132436,2,38,2
798,20140111132436,3,42,1
799,20140111132436,4,11,2
800,20140111132457,1,50,1
801,20140111132457,2,48,2
802,20140111132457,3,16,2
803,20140111132457,4,9,1
804,20140111132464,1,52,1
805,20140111132472,1,42,2
806,20140111132472,2,49,1
807,20140111132472,3,16,2
808,20140111132472,4,11,2
809,20140111132483,1,47,1
810,20140111132483,2,43,2
811,20140111132483,3,18,2
812,20140111132483,4,15,1
813,20140111132483,5,11,1
814,20140111132491,1,53,2
815,20140111132491,2,59,1
816,20140111132501,1,69,2
817,20140111132501,2,66,1
818,20140111132507,1,15,2
819,20140111132507,2,54,1
820,20140111132507,3,52,2
821,20140111132507,4,17,1
822,20140111132513,1,27,2
823,20140111132513,2,26,1
824,20140111132513,3,0,1
825,20140111132514,1,15,2
826,20140111132514,2,46,2
827,20140112130007,1,62,2
828,20140112130015,1,36,2
829,20140112130015,2,41,2
830,20140112130015,3,69,1
831,20140112130015,4,2,1
832,20140112130022,1,16,1
833,20140112130022,2,29,2
834,20140112130022,3,33,1
835,20140112130022,4,5,2
836,20140112130022,5,1,1
837,20140112130025,1,43,1
838,20140112130025,2,23,2
839,20140112130025,3,16,1
840,20140112130025,4,9,1
841,20140112130025,5,7,2
842,20140112130031,1,39,2
843,20140112130031,2,42,1
844,20140112130031,3,21,1
845,20140112130035,1,44,2
846,20140112130035,2,19,1
847,20140112130037,1,62,1
848,20140112130037,2,62,2
849,20140112130041,1,76,1
850,20140112130041,2,76,2
851,20140112130042,1,66,2
852,20140112130042,2,69,1
853,20140112130045,1,59,1
854,20140112130045,2,85,2
855,20140112130055,1,31,1
856,20140112130055,2,32,2
857,20140112130055,3,3,2
858,20140112130056,1,80,1
859,20140112130058,1,28,1
860,20140112130058,2,28,2
861,20140112130058,3,7,2
862,20140112130058,4,1,2
863,20140112130060,1,65,2
864,20140112130061,1,62,1
865,20140112130061,2,58,2
866,20140112130069,1,58,1
867,20140112130071,1,38,2
868,20140112130071,2,45,1
869,20140112130071,3,11,1
870,20140112130071,4,9,1
871,20140112130076,1,52,2
872,20140112130078,1,79,2
873,20140112130082,1,49,2
874,20140112130082,2,13,1
875,20140112130082,3,9,2
876,20140112130088,1,66,2
877,20140112130094,1,31,1
878,20140112130094,2,29,2
879,20140112130094,3,7,1
880,20140112130094,4,5,2
881,20140112130099,1,71,2
882,20140112130100,1,43,1
883,20140112130100,2,41,2
884,20140112130100,3,17,1
885,20140112130100,4,12,1
886,20140112130100,5,9,2
887,20140112130100,6,10,2
888,20140112130104,1,19,2
889,20140112130104,2,53,2
890,20140112130105,1,27,1
891,20140112130105,2,23,2
892,20140112130105,3,1,1
893,20140112130106,1,40,2
894,20140112130106,2,36,1
895,20140112130106,3,5,1
896,20140112130107,1,35,1
897,20140112130116,1,85,2
898,20140112130118,1,22,1
899,20140112130118,2,21,2
900,20140112130124,1,85,2
901,20140112130128,1,41,2
902,20140112130128,3,18,2
903,20140112130129,1,24,2
904,20140112130129,2,25,1
905,20140112130130,1,68,2
906,20140112130132,1,79,1
907,20140112130132,2,69,2
908,20140112130135,1,66,2
909,20140112130135,2,30,2
910,20140112130135,3,30,1
911,20140112130135,4,2,1
912,20140112130137,1,42,1
913,20140112130137,2,42,2
914,20140112130137,3,15,1
915,20140112130137,4,12,1
916,20140112130137,5,6,2
917,20140112130139,1,21,2
918,20140112130139,2,3,2
919,20140112130139,3,0,2
920,20140112130144,1,40,1
921,20140112130144,2,40,2
922,20140112130144,3,18,2
923,20140112130144,4,10,2
924,20140112130148,1,28,2
925,20140112130148,3,31,1
926,20140112130152,1,15,2
927,20140112130152,2,38,2
928,20140112130152,3,47,1
929,20140112130152,4,17,1
930,20140112130152,5,14,1
931,20140112130152,6,12,1
932,20140112130152,7,12,1
933,20140112130152,8,9,1
934,20140112130152,9,5,1
935,20140112130175,1,26,1
936,20140112130175,2,29,1
937,20140112130175,3,45,2
938,20140112130175,5,1,2
939,20140112130178,1,55,2
940,20140112130182,1,29,2
941,20140112130186,1,35,2
942,20140112130186,2,41,1
943,20140112130186,3,12,2
944,20140112130186,4,7,1
945,20140112130187,1,54,2
946,20140112130187,2,53,1
947,20140112130187,3,24,1
948,20140112130501,1,32,1
949,20140112130501,2,32,2
950,20140112130501,3,3,1
951,20140112130501,4,0,1
952,20140112130508,1,29,1
953,20140112130510,1,37,2
954,20140112130514,1,85,1
955,20140112130514,2,85,2
956,20140112130515,1,26,1
957,20140112130515,2,24,2
958,20140112130515,3,1,1
959,20140112130518,1,63,1
960,20140112130518,2,61,2
961,20140112130524,1,70,2
962,20140112130524,3,19,2
963,20140112130524,4,17,2
964,20140112130524,8,11,2
965,20140112130524,9,9,1
966,20140112130525,1,55,2
967,20140112130525,2,57,1
968,20140112130530,1,46,2
969,20140112130530,2,46,1
970,20140112130530,3,18,1
971,20140112130530,5,14,1
972,20140112130537,1,47,1
973,20140112130537,2,43,2
974,20140112130537,3,10,2
975,20140112130538,1,80,1
976,20140112130541,1,71,2
977,20140112130541,2,76,1
978,20140112130542,1,15,1
979,20140112130542,2,19,2
980,20140112130542,3,49,1
981,20140112130542,4,41,2
982,20140112130542,5,61,1
983,20140112130542,7,10,1
984,20140112130542,8,9,1
985,20140112130544,1,40,2
986,20140112130544,2,36,1
987,20140112130544,3,3,1
988,20140112130544,4,1,2
989,20140112130545,1,22,2
990,20140112130545,2,32,1
